Number;Domain;Country;Name;TwitterHandle;numOfTweetsInK;numOfOriginalTweets;isSingleAuthor;Gender
1;Sports;US;LeBron James;KingJames;5.7;;Yes;M
2;Sports;US;Kevin Durant;KDTrey5;23.2;;Yes;M
3;Sports;US;SHAQ;SHAQ;9.0;;Yes;M
4;Sports;US;Kobe Bryant;kobebryant;1.4;;Yes;M
5;Sports;US;Stephen Curry;StephenCurry30;6.8;;Yes;M
6;Sports;US;John Cena;JohnCena;5.5;;Yes;M
7;Sports;US;Serena Williams;serenawilliams;14.0;;Yes;F
8;Sports;US;Carmelo Anthony;carmeloanthony;2.7;;Yes;M
9;Sports;US;Floyd Mayweather;Floydmayweather;7.6;;Yes;M
10;Sports;US;Chris Paul;CP3;5.7;;Yes;M
11;Sports;US;Dwight Howard;DwightHoward;23.3;;Yes;M
12;Sports;US;Triple H;TripleH;3.9;;Yes;M
13;Sports;US;Tiger Woods;TigerWoods;0.7;;Yes;M
14;Sports;US;Randy Orton;RandyOrton;3.2;;Yes;M
15;Sports;US;Mike Tyson;MikeTyson;6.3;;Yes;M
16;Sports;US;DWade;DwyaneWade;10.5;;Yes;M
17;Sports;UK;Wayne Rooney;WayneRooney;2.2;;Yes;M
18;Sports;UK;Gareth Bale;GarethBale11;1.3;;Yes;M
19;Sports;UK;Rio Ferdinand;rioferdy5;18.2;;Yes;M
20;Sports;UK;Gary Lineker;GaryLineker;25.2;;Yes;M
21;Sports;UK;Lewis Hamilton;LewisHamilton;0.0;;Yes;M
22;Sports;UK;Gary Neville;GNev2;12.3;;Yes;M
23;Sports;UK;Michael Owen;themichaelowen;13.1;;Yes;M
24;Sports;UK;Andy Murray;andy_murray;2.8;;Yes;M
25;Sports;UK;Joey Barton;Joey7Barton;19.7;;Yes;M
26;Sports;UK;Jack Wilshere;JackWilshere;1.4;;Yes;M
27;Sports;UK;Jenson Button;JensonButton;6.0;;Yes;M
28;Sports;UK;Joey Barton;Joey7Barton;19.6;;Yes;M
29;Sports;UK;Tom Daley;TomDaley1994;8.7;;Yes;M
30;Politics;US;Barack Obama;BarackObama;15.5;;Yes;M
31;Politics;US;Donald Trump;realDonaldTrump;36.9;;Yes;M
